# t (s)	mx ()	my ()	mz ()
0	0.9669666	0.12527904	0
1.0312355274775617e-11	0.96400225	0.13531445	-0.012877586
2.0362754821232397e-11	0.9550213	0.16303566	-0.02478015
3.068655527446466e-11	0.9380252	0.20781219	-0.036049783
4.058839559648113e-11	0.91256773	0.2633652	-0.045654707
5.0411785972152196e-11	0.877054	0.3272301	-0.053826287
6.032764875595201e-11	0.8300524	0.39689773	-0.060733296
7.027754130450456e-11	0.77132446	0.4686147	-0.06662461
8.027220689294959e-11	0.7004888	0.5394225	-0.072071455
9.032832314825877e-11	0.6167222	0.60659325	-0.077854596
1.0018430625360536e-10	0.52130234	0.66549176	-0.08470436
1.1050698494224024e-10	0.40530753	0.7154989	-0.094109334
1.2016174871424285e-10	0.28034404	0.7456441	-0.105557114
1.3059759008502785e-10	0.1277726	0.75182486	-0.1203978
1.4038617344068089e-10	-0.027777158	0.72582144	-0.13499273
1.5020794546097358e-10	-0.18930312	0.6659769	-0.14832631
1.6003994426068756e-10	-0.34930494	0.5731122	-0.15906888
1.7043375443956841e-10	-0.50749403	0.44191554	-0.16668685
1.8004609082361587e-10	-0.63439894	0.29507875	-0.16910964
1.9033363184118182e-10	-0.7430195	0.11812573	-0.16512178
2.0064323362407977e-10	-0.81899893	-0.07216914	-0.15239231
2.1030817633025928e-10	-0.85214674	-0.24957156	-0.13028574
2.200188482111579e-10	-0.8395938	-0.40069667	-0.09645268
2.3045990170520617e-10	-0.78370994	-0.48909903	-0.051244013
2.4019570448134975e-10	-0.72576016	-0.4852118	-0.011838532
2.5058276058176116e-10	-0.68220586	-0.4110549	0.021023368
2.602997238584418e-10	-0.6613933	-0.30662054	0.04277982
2.7003915787724265e-10	-0.6557814	-0.19811359	0.055933986
2.8049602437392823e-10	-0.6631752	-0.10441285	0.06283028
2.9028141874702674e-10	-0.68688756	-0.045624446	0.06645797
3.0002084063376974e-10	-0.74184525	-0.009442878	0.06960735
3.1024596010908396e-10	-0.8306038	0.025093596	0.07332252
3.203813197423593e-10	-0.91448444	0.09057783	0.07670265
3.3051554354304834e-10	-0.9310969	0.18891738	0.0736576
3.406790137135984e-10	-0.85973454	0.2633583	0.06252129
3.5020536192860084e-10	-0.7703205	0.29031956	0.049319554
3.604634528697847e-10	-0.7018	0.30091578	0.03518047
3.700765954746322e-10	-0.6772988	0.31598338	0.02192649
3.8044069486411126e-10	-0.6870784	0.34788293	0.0062323757
3.9016161667765255e-10	-0.72278535	0.38600495	-0.0105652865
4.0053854987838253e-10	-0.78089666	0.4079952	-0.030879935
4.10173847801633e-10	-0.8396883	0.38592345	-0.05075506
4.2051018183904864e-10	-0.89194864	0.31185535	-0.06962743
4.302215531980999e-10	-0.917235	0.2065823	-0.081375204
4.406021807315885e-10	-0.9144447	0.07753822	-0.084412806
4.5028173630768424e-10	-0.89356476	-0.033578347	-0.0768179
4.6059251542952635e-10	-0.8687373	-0.13037895	-0.059745546
4.701415291381501e-10	-0.8534935	-0.20115094	-0.038000878
4.803161143839384e-10	-0.85598445	-0.25204498	-0.010607167
4.904905412350159e-10	-0.88279045	-0.26502895	0.019863147
5.000104923813767e-10	-0.919243	-0.22645873	0.04761744
5.1020947404366e-10	-0.944382	-0.13157783	0.069963716
